

cancer	gene	sample	tumor methylation	normal methylation	tumor expression	normal expression
brca	NM_001042669	TCGA-BH-A1F6	0.7494	0.2629	99.9529	576.2016
brca	NM_001042669	TCGA-BH-A1F8	0.4831	0.4037	101.5625	443.4882
brca	NM_001042669	TCGA-BH-A1FB	0.7308	0.4306	360.4344	438.9556
brca	NM_001042669	TCGA-BH-A1FC	0.8515	0.4219	67.3777	433.7278
brca	NM_001042669	TCGA-BH-A1FD	0.3875	0.3205	145.0116	641.2449
brca	NM_001042669	TCGA-BH-A1FE	0.2421	0.3708	705.7996	385.2602
brca	NM_001042669	TCGA-BH-A1FG	0.5530	0.2632	82.6657	386.2589
brca	NM_001042669	TCGA-BH-A1FH	0.4783	0.3516	539.9799	408.4867
brca	NM_001042669	TCGA-BH-A1FJ	0.9454	0.4041	71.9885	418.8942
brca	NM_001042669	TCGA-BH-A1FL	0.8918		131.6333	
brca	NM_001042669	TCGA-BH-A1FM	0.8251	0.3219	133.7562	429.2802
brca	NM_001042669	TCGA-BH-A1FN	0.5768	0.4300	431.7743	543.2671
brca	NM_001042669	TCGA-BH-A1FR	0.9021	0.4793	184.5326	436.0788
brca	NM_001042669	TCGA-BH-A1FU	0.4692		411.4335	484.0063
brca	NM_001042669	TCGA-BH-A201	0.8069		171.5382	
brca	NM_001042669	TCGA-BH-A202	0.4199		215.4416	
brca	NM_001042669	TCGA-BH-A203	0.8978	0.3906	130.1308	466.3677
