index	FACS.selection	age	batch	cell	cell_ontology_class	cell_ontology_id	cellid	free_annotation	mouse.id	plate	sex	well	Expressed Genes	UMI Count	Louvain Cluster	leiden	cluster_names
L19.MAA000487.3_10_M.1.1-1	nan	3m	1	L19.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+Krt14+)	3_10_M	nan	male	nan	6328	7376.9897	2	7	2_bladder urothelial cell
L2.B000610.3_56_F.1.1-1	nan	3m	1	L2.B000610.3_56_F.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_56_F	nan	female	nan	3756	5314.4233	1	1	1_bladder cell
L2.D041914.3_8_M.1.1-1	nan	3m	1	L2.D041914.3_8_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Scara5+)	3_8_M	nan	male	nan	3942	5511.3174	1	1	1_bladder cell
L2.D042253.3_9_M.1.1-1	nan	3m	1	L2.D042253.3_9_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_9_M	nan	male	nan	4814	6678.049	4	4	4_bladder cell
L2.MAA000487.3_10_M.1.1-1	nan	3m	1	L2.MAA000487.3_10_M.1.1	bladder cell	CL:1001319	nan	bladder mesenchymal cell (Car3+)	3_10_M	nan	male	nan	4277	6110.2285	4	4	4_bladder cell
L20.D041914.3_8_M.1.1-1	nan	3m	1	L20.D041914.3_8_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_8_M	nan	male	nan	5063	6436.819	6	6	6_bladder urothelial cell
L20.D042253.3_9_M.1.1-1	nan	3m	1	L20.D042253.3_9_M.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+Krt14+)	3_9_M	nan	male	nan	5042	7318.836	2	7	2_bladder urothelial cell
L20.MAA000487.3_10_M.1.1-1	nan	3m	1	L20.MAA000487.3_10_M.1.1	bladder urothelial cell	CL:1001428	nan	basal bladder epithelial cell (Krt5+Krt14+)	3_10_M	nan	male	nan	7489	7360.2793	2	7	2_bladder urothelial cell
L21.D041914.3_8_M.1.1-1	nan	3m	1	L21.D041914.3_8_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_8_M	nan	male	nan	5011	6145.3906	6	6	6_bladder urothelial cell
L21.D042253.3_9_M.1.1-1	nan	3m	1	L21.D042253.3_9_M.1.1	bladder urothelial cell	CL:1001428	nan	luminal bladder epithelial cell (umbrella cell)	3_9_M	nan	male	nan	5899	7343.6016	2	5	2_bladder urothelial cell
